# ndr_routes.tsv - written by the map/road/composition editor.
# route	index	x	y	z	speed	flags
# Pull it into the repository with: python routecheck.py --pull
Convoy	9	-2108.85	463.77	52.63	0	
Convoy	10	-2085.97	463.77	71.96	0	
Convoy	11	-2063.50	463.77	91.81	0	
Convoy	12	-2041.11	463.77	111.75	0	
Convoy	13	-2019.22	463.77	132.14	0	
Convoy	14	-1998.43	463.77	153.64	0	
Convoy	15	-1978.54	463.77	176.04	0	
Convoy	16	-1958.82	463.77	198.64	0	
Convoy	17	-1939.14	463.77	221.23	0	
Convoy	18	-1920.23	463.77	244.35	0	
Convoy	19	-1902.63	463.77	268.43	0	
Convoy	20	-1885.99	463.77	293.28	0	
Convoy	21	-1869.80	463.77	318.51	0	
Convoy	22	-1853.73	463.77	343.81	0	
Convoy	23	-1836.73	463.77	368.27	0	
Convoy	24	-1817.34	463.77	390.63	0	
Convoy	25	-1795.52	463.77	410.73	0	
Convoy	26	-1772.45	463.77	429.31	0	
Convoy	27	-1748.50	463.77	445.93	0	
Convoy	28	-1722.99	463.77	459.49	0	
Convoy	29	-1695.69	463.77	469.20	0	
Convoy	30	-1667.02	463.67	474.07	0	
Convoy	31	-1637.52	464.98	474.55	0	
Convoy	32	-1607.74	465.78	473.64	0	
Convoy	33	-1578.08	467.11	474.74	0	
Convoy	34	-1548.89	463.77	479.57	0	
Convoy	35	-1520.40	463.77	487.99	0	
Convoy	36	-1492.81	465.16	499.09	0	
Convoy	37	-1466.63	467.13	512.81	0	
Convoy	38	-1442.18	465.51	529.42	0	
Convoy	39	-1418.98	462.44	548.15	0	
Convoy	40	-1396.36	462.44	567.81	0	
Convoy	41	-1373.73	461.79	587.42	0	
Convoy	42	-1350.33	461.79	606.02	0	
Convoy	43	-1325.57	464.19	622.54	0	
Convoy	44	-1299.20	464.19	636.01	0	
Convoy	45	-1271.32	461.04	646.01	0	
Convoy	46	-1242.41	463.04	652.77	0	
Convoy	47	-1212.91	459.47	656.45	0	
Convoy	48	-1183.47	459.14	657.02	0	
Convoy	49	-1155.08	458.39	654.56	0	
Convoy	50	-1127.72	458.76	649.79	0	
Convoy	51	-1100.33	459.79	643.35	0	
Convoy	52	-1072.44	460.40	635.20	0	
Convoy	53	-1044.10	460.48	626.98	0	
Convoy	54	-1015.21	460.34	622.21	0	
Convoy	55	-986.17	460.14	622.82	0	
Convoy	56	-957.45	459.91	627.51	0	
Convoy	57	-929.10	459.56	634.27	0	
Convoy	58	-900.91	459.03	642.47	0	
Convoy	59	-872.61	458.55	651.44	0	
Convoy	60	-844.25	458.63	660.51	0	
Convoy	61	-816.62	460.03	670.96	0	
Convoy	62	-790.56	461.60	684.58	0	
Convoy	63	-765.84	457.63	701.03	0	
Convoy	64	-741.88	457.59	718.89	0	
Convoy	65	-718.46	457.46	737.46	0	
Convoy	66	-694.84	457.81	755.54	0	
Convoy	67	-669.63	459.96	770.82	0	
Convoy	68	-642.31	461.70	781.50	0	
Convoy	69	-613.53	465.86	786.89	0	
Convoy	70	-584.37	466.92	786.53	0	
Convoy	71	-555.79	464.25	781.07	0	
Convoy	72	-528.86	463.91	775.60	0	
Convoy	73	-505.61	467.39	779.03	0	
Convoy	74	-487.47	465.76	795.43	0	
Convoy	75	-473.17	465.76	820.13	0	
Convoy	76	-460.22	466.11	847.00	0	
Convoy	77	-446.15	473.70	873.01	0	
Convoy	78	-428.25	474.10	895.30	0	
Convoy	79	-405.22	474.45	909.76	0	
Convoy	80	-378.47	473.94	913.58	0	
Convoy	81	-350.26	473.90	908.70	0	
Convoy	82	-321.62	477.18	901.10	0	
Convoy	83	-293.05	475.04	897.09	0	
Convoy	84	-266.61	471.49	901.60	0	
Convoy	85	-245.33	470.48	916.71	0	
Convoy	86	-230.29	481.81	940.13	0	
Convoy	87	-221.33	481.81	967.42	0	
Convoy	88	-219.62	488.73	995.54	0	
Convoy	89	-225.06	487.57	1023.57	0	
Convoy	90	-232.83	479.41	1051.80	0	
Convoy	91	-237.15	472.68	1080.65	0	
Convoy	92	-236.32	471.08	1109.91	0	
Convoy	93	-232.43	468.55	1139.03	0	
Convoy	94	-227.18	465.00	1167.67	0	
Convoy	95	-219.69	459.29	1195.75	0	
Convoy	96	-209.49	461.16	1223.40	0	
Convoy	97	-198.26	452.98	1251.02	0	
Convoy	98	-186.72	450.89	1278.57	0	
Convoy	99	-173.53	450.38	1305.25	0	
Convoy	100	-157.62	448.94	1330.40	0	
Convoy	101	-139.48	448.94	1354.16	0	
Convoy	102	-120.27	448.94	1377.17	0	
Convoy	103	-100.71	454.03	1399.91	0	
Convoy	104	-80.71	454.03	1422.20	0	
Convoy	105	-59.69	454.03	1443.45	0	
Convoy	106	-37.43	454.03	1463.45	0	
Convoy	107	-14.47	454.03	1482.72	0	
Convoy	108	8.73	452.99	1501.73	0	
Convoy	109	32.38	452.99	1520.05	0	
Convoy	110	57.09	453.18	1536.75	0	
Convoy	111	82.89	453.01	1551.68	0	
Convoy	112	109.35	452.97	1565.19	0	
Convoy	113	136.33	452.97	1576.80	0	
Convoy	114	163.75	452.97	1585.56	0	
Convoy	115	191.33	456.90	1591.26	0	
Convoy	116	218.76	462.79	1593.68	0	
Convoy	117	245.38	458.55	1590.42	0	
Convoy	118	269.74	457.06	1578.63	0	
Convoy	119	290.17	457.46	1558.95	0	
Convoy	120	306.60	451.83	1534.64	0	
Convoy	121	320.97	449.56	1508.56	0	
Convoy	122	334.79	448.11	1482.05	0	
Convoy	123	348.64	450.77	1455.57	0	
Convoy	124	363.77	447.69	1430.09	0	
Convoy	125	382.12	446.84	1407.98	0	
Convoy	126	405.03	448.54	1391.87	0	
Convoy	127	432.03	445.58	1382.15	0	
Convoy	128	461.14	445.48	1377.25	0	
Convoy	129	490.77	445.73	1376.28	0	
Convoy	130	520.38	445.74	1378.92	0	
Convoy	131	549.58	445.34	1384.70	0	
Convoy	132	577.42	445.08	1394.25	0	
Convoy	133	602.40	449.11	1408.97	0	
Convoy	134	623.83	449.31	1428.64	0	
Convoy	135	641.63	449.29	1451.61	0	
Convoy	136	655.00	446.74	1476.51	0	
Convoy	137	664.13	445.64	1502.40	0	
Convoy	138	671.88	442.45	1528.75	0	
Convoy	139	681.32	443.81	1555.46	0	
Convoy	140	693.41	444.49	1581.43	0	
Convoy	141	707.26	443.42	1605.71	0	
Convoy	142	721.12	439.16	1629.71	0	
Convoy	143	734.92	436.76	1654.53	0	
Convoy	144	751.69	434.14	1677.31	0	
Convoy	145	774.05	440.09	1693.01	0	
Convoy	146	801.27	440.09	1700.08	0	
Convoy	147	830.46	447.48	1703.09	0	
Convoy	148	858.00	447.48	1709.33	0	
Convoy	149	880.72	452.77	1722.31	0	
Convoy	150	899.66	449.36	1737.09	0	
Convoy	151	920.32	447.93	1745.06	0	
Convoy	152	945.81	452.23	1743.97	0	
Convoy	153	974.22	453.34	1737.87	0	
Convoy	154	1003.08	451.68	1730.12	0	
Convoy	155	1031.71	444.26	1721.57	0	
Convoy	156	1060.21	442.34	1712.60	0	
Convoy	157	1088.67	439.70	1703.83	0	
Convoy	158	1116.87	440.11	1695.89	0	
Convoy	159	1144.25	447.16	1688.54	0	
Convoy	160	1170.87	453.21	1681.31	0	
Convoy	161	1197.45	456.93	1675.00	0	
Convoy	162	1224.67	463.75	1670.35	0	
Convoy	163	1253.07	469.43	1666.73	0	
Convoy	164	1282.50	469.93	1663.67	0	
Convoy	165	1312.25	465.12	1660.98	0	
Convoy	166	1341.83	455.85	1658.52	0	
Convoy	167	1370.57	445.54	1657.33	0	
Convoy	168	1397.62	439.16	1658.11	0	
Convoy	169	1423.90	437.69	1659.75	0	
Convoy	170	1451.56	434.12	1661.16	0	
Convoy	171	1480.91	434.14	1662.41	0	
Convoy	172	1510.80	432.49	1663.84	0	
Convoy	173	1540.58	431.94	1665.85	0	
Convoy	174	1570.12	431.58	1668.78	0	
Convoy	175	1599.38	431.78	1672.64	0	
Convoy	176	1628.47	431.72	1677.77	0	
Convoy	177	1657.40	431.99	1684.52	0	
Convoy	178	1686.17	432.03	1692.57	0	
Convoy	179	1714.86	432.00	1701.10	0	
Convoy	180	1743.55	432.06	1709.65	0	
Convoy	181	1772.06	432.15	1718.63	0	
Convoy	182	1800.23	432.32	1728.51	0	
Convoy	183	1828.33	432.67	1738.55	0	
Convoy	184	1856.71	436.80	1747.69	0	
Convoy	185	1885.34	434.16	1756.11	0	
Convoy	186	1914.09	433.24	1764.26	0	
Convoy	187	1942.98	430.26	1771.91	0	
Convoy	188	1972.15	428.90	1778.52	0	
Convoy	189	2001.59	430.67	1783.80	0	
Convoy	190	2031.23	432.92	1787.98	0	
Convoy	191	2060.92	432.88	1791.91	0	
Convoy	192	2090.54	432.88	1796.34	0	
Convoy	193	2120.15	430.78	1800.79	0	
Convoy	194	2149.87	430.93	1804.12	0	
Convoy	195	2179.68	432.89	1806.43	0	
Convoy	196	2209.48	438.77	1808.89	0	
Convoy	197	2239.13	449.71	1811.61	0	
Convoy	198	2266.72	463.32	1812.96	0	
Convoy	199	2287.05	479.28	1812.14	0	
Convoy	200	2298.58	483.94	1810.30	0	
